project_name,district,market_segment,tenure,lease_start_year,transaction_count,median_psf,avg_psf_5yr_ago,appreciation_1yr,appreciation_3yr,appreciation_5yr,annualized_appreciation,resale_annualized_appreciation,new_sale_proportion,has_new_launch_bias,appreciation_momentum,data_coverage,source,updated
PARKVIEW APARTMENTS,D23,Outside Central Region,99 yrs lease commencing from 1994,1994,105,947.0,784.0,-4.343434343434338,-3.4658511722731933,20.790816326530614,3.850067526729828,3.850067526729828,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
THE SKYWOODS,D23,Outside Central Region,99 yrs lease commencing from 2012,2012,105,1684.0,1372.0,-0.2960331557134377,8.645161290322578,22.740524781341097,4.183176598134675,4.183176598134675,0.0,False,-0.896,5yr,ura_5yr_cagr,2026-06-07
THE ARDEN,D23,Outside Central Region,99 yrs lease commencing from 2023,2023,105,1797.0,,-1.0462555066079293,0.5595970900951208,,,,1.0,True,-0.247,3yr,ura_data,2026-06-07
GUILIN VIEW,D23,Outside Central Region,99 yrs lease commencing from 1996,1996,101,1207.0,930.0,-1.6299918500407462,15.171755725190849,29.78494623655914,5.352504486657539,5.352504486657539,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
REGENT GROVE,D23,Outside Central Region,99 yrs lease commencing from 1997,1997,97,1002.0,757.0,-3.141614306428231,6.595744680851068,32.36459709379129,5.7680185540111895,5.7680185540111895,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
TREE HOUSE,D23,Outside Central Region,99 yrs lease commencing from 2009,2009,93,1538.5,1198.0,1.4841688654353646,4.0581670612106935,28.422370617696167,6.453555347822748,6.453555347822748,0.0,False,-0.994,5yr,ura_5yr_cagr,2026-06-07
THE WARREN,D23,Outside Central Region,99 yrs lease commencing from 2001,2001,89,1182.0,938.0,0.16949152542373724,15.03649635036497,26.01279317697227,4.732851417272599,4.732851417272599,0.0,False,-0.913,5yr,ura_5yr_cagr,2026-06-07
HAZEL PARK CONDOMINIUM,D23,Outside Central Region,999 yrs lease commencing from 1882,1882,81,1714.0,1300.0,4.289625798600549,5.088902513795213,31.846153846153836,5.685034389155352,5.685034389155352,0.0,False,-0.279,5yr,ura_5yr_cagr,2026-06-07
THE MADEIRA,D23,Outside Central Region,99 yrs lease commencing from 2000,2000,71,1228.0,921.0,1.320132013201314,9.545049063336307,33.33333333333333,5.922384104881218,5.922384104881218,0.0,False,-0.92,5yr,ura_5yr_cagr,2026-06-07
PHOENIX RESIDENCES,D23,Outside Central Region,99 yrs lease commencing from 2019,2019,68,1887.0,1495.0,,8.38598506605399,26.220735785953188,5.9943404678600265,,0.941,True,-0.64,5yr,ura_5yr_cagr,2026-06-07
