project_name,district,region,beds,baths,price,psf,sqft,mmr,score_1000,scored_at,tenure,built_year,floor_level,facing,mrt_info,total_units,first_seen,last_seen,times_seen,last_price_change,price_trend,lowest_price,drop_from_peak_pct,status,url
One Pearl Bank,D03,City & South West (D01-08),3,3,3600000,2810.3,1281.0,1465.0,208,2026-06-07,99-year Leasehold,2024,,,6 min (480 m) from NE3 Outram Park MRT Station,,2026-06-07,2026-06-07,1,,new,3600000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-one-pearl-bank-25416046
Artra,D03,City & South West (D01-08),3,3,3580000,2539.01,1410.0,1494.6,414,2026-06-07,99-year Leasehold,2021,,,2 min (200 m) from EW18 Redhill MRT Station,,2026-06-07,2026-06-07,1,,new,3580000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-artra-60149442
MEYER BLUE,D15,East Coast (D15-16),3,3,3551000,3112.18,1141.0,1488.5,366,2026-06-07,Freehold,2028,,,7 min (570 m) from TE24 Katong Park MRT Station,,2026-06-07,2026-06-07,1,,new,3551000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-meyer-blue-60020310
MEYER BLUE,D15,East Coast (D15-16),3,2,3551000,3112.18,1141.0,1488.5,366,2026-06-07,Freehold,2028,,,7 min (570 m) from TE24 Katong Park MRT Station,,2026-06-07,2026-06-07,1,,new,3551000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-meyer-blue-25282617
The Trumps,D14,Balestier / Geylang (D12-14),3,4,3550000,1157.11,3068.0,1571.9,903,2026-06-07,99-year Leasehold,2005,,,3 min (190 m) from EW6 Kembangan MRT Station,,2026-06-07,2026-06-07,1,,new,3550000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-trumps-500161977
Kensington Park,D19,Serangoon / Thomson (D19-20),3,3,3550000,1586.24,2238.0,1452.0,146,2026-06-07,999-year Leasehold,1990,,,10 min (860 m) from CR10 Tavistock MRT Station,,2026-06-07,2026-06-07,1,,new,3550000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-kensington-park-500154153
Claydence,D15,East Coast (D15-16),3,3,3545000,2699.92,1313.0,1485.7,344,2026-06-07,Freehold,2026,,,10 min (840 m) from EW7 Eunos MRT Station,,2026-06-07,2026-06-07,1,,new,3545000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-claydence-500057975
Chuan Park,D19,Serangoon / Thomson (D19-20),3,3,3519800,2370.24,1485.0,1512.8,565,2026-06-07,99-year Leasehold,2028,,,5 min (420 m) from CC14 Lorong Chuan MRT Station,,2026-06-07,2026-06-07,1,,new,3519800,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-chuan-park-500008561
The Continuum,D15,East Coast (D15-16),3,3,3502000,2803.84,1249.0,1499.5,454,2026-06-07,Freehold,2027,,,10 min (830 m) from CC8 Dakota MRT Station,,2026-06-07,2026-06-07,1,,new,3502000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-continuum-24450215
11 Amber Road,D15,East Coast (D15-16),3,3,3500000,2339.57,1496.0,1483.6,329,2026-06-07,Freehold,2004,,,10 min (820 m) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,3500000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-11-amber-road-60043268
Amber Road - Sea View Freehold D15 Apartment,D15,,3,3,3500000,2339.57,1496.0,1483.6,329,2026-06-07,Freehold,2004,,,10 min (830 m) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,3500000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-amber-road-sea-view-freehold-d15-apartment-25530696
Amber Skye,D15,East Coast (D15-16),3,4,3500000,2621.72,1335.0,1498.3,445,2026-06-07,Freehold,2017,,,1 min (80 m) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,3500000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-amber-skye-25094734
